,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
89,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",41661,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
90,"Monëy so big",Yeat,41335,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
91,Bussin,"Nicki Minaj",41294,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
92,"I Hate U",SZA,41237,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
93,"You Right","Doja Cat",41127,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
94,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",40746,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
95,"Godzilla (feat. Juice WRLD)",Eminem,40486,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
96,"Big Energy",Latto,39916,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
97,"Ginseng Strip 2002","Yung Lean",39870,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
98,"Praise God","Kanye West",39815,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
99,"California Love - Original Version",2Pac,39444,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
100,"Ni**as In Paris",JAY-Z,39279,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
101,Dior,"Pop Smoke",39239,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
102,"Pursuit Of Happiness (Nightmare)","Kid Cudi",38934,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
103,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,38723,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
104,"Wants and Needs (feat. Lil Baby)",Drake,38646,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
105,"Dreams - 2004 Remaster","Fleetwood Mac",38599,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
106,"Martin & Gina","Polo G",38310,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
107,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",38269,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
108,Sky,"Playboi Carti",38151,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
109,"It'll Be Okay","Shawn Mendes",38107,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
110,"Hrs and Hrs","Muni Long",38065,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
111,"Don't Play That","King Von",37491,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
112,"Lucid Dreams","Juice WRLD",37437,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
113,"Buy Dirt","Jordan Davis",37164,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
114,"Watermelon Sugar","Harry Styles",37088,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
115,"Forgot About Dre","Dr. Dre",37048,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
116,Circles,"Post Malone",36733,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
117,"Mr. Brightside","The Killers",36700,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
118,"Save Your Tears","The Weeknd",36560,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
119,"Don't Stop Believin'",Journey,36452,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
120,"The Spins","Mac Miller",36380,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
121,Riptide,"Vance Joy",36288,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
122,"Waiting On A Miracle","Stephanie Beatriz",36250,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
123,"Alien Blues",Vundabar,36209,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
124,Stan,Eminem,36200,https://open.spotify.com/track/3UmaczJpikHgJFyBTAJVoz
125,HUMBLE.,"Kendrick Lamar",36008,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
126,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",35873,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
127,"Fancy Like","Walker Hayes",35818,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
128,Swim,"Chase Atlantic",35684,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
129,"Dance Monkey","Tones And I",35682,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
130,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",35401,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
131,"Before You Go","Lewis Capaldi",35333,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
132,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",35120,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
133,"Get Into It (Yuh)","Doja Cat",34755,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
134,"Hit 'Em Up - Single Version",2Pac,34583,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
135,"deja vu","Olivia Rodrigo",34573,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
136,Classic,MKTO,34503,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
137,"Money Trees","Kendrick Lamar",34464,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
138,"Is There Someone Else?","The Weeknd",34186,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
139,Freaks,"Surf Curse",34114,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
140,"Astronaut In The Ocean","Masked Wolf",34112,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
141,HANDSOMER,Russ,34050,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
142,"Rumors (feat. Lil Durk)","Gucci Mane",33971,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
143,"bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)","Mura Masa",33855,https://open.spotify.com/track/22PnPdB20lq7wElHkk17oP
144,"Smokin Out The Window","Bruno Mars",33817,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
145,"you broke me first","Tate McRae",33778,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
146,"When I R.I.P.",Labrinth,33737,https://open.spotify.com/track/2t16D9V5FmmRAJjsSpwvZf
147,"Say You Won't Let Go","James Arthur",33639,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
148,Pray,"Jessie Murph",33632,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte
149,"Die For You","The Weeknd",33372,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
150,Ophelia,"The Lumineers",33281,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
151,"Je te laisserai des mots","Patrick Watson",33261,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
152,"Dos Oruguitas","Sebastian Yatra",33195,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
153,"3 Nights","Dominic Fike",33172,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
154,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",33006,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
155,"Daddy Issues","The Neighbourhood",32991,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
156,"All of Me","John Legend",32611,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
157,"The Business",Tiësto,32463,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
158,"20 Min","Lil Uzi Vert",32455,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
159,"Gospel (with Eminem)","Dr. Dre",32436,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
160,"It Was A Good Day","Ice Cube",32404,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
161,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",32382,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
162,"Out of Time","The Weeknd",32377,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
163,MAMIII,"Becky G",32328,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
164,Forever,Labrinth,32195,https://open.spotify.com/track/6potEImiklXkwD9qFzpu15
165,"All Girls Are The Same","Juice WRLD",32074,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
166,"Scared Money (feat. J. Cole and Moneybagg Yo)",YG,31904,https://open.spotify.com/track/4heBcjj4Lw3X2sQVFNbLbz
167,"Space Song","Beach House",31875,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
168,"When I’m Gone (with Katy Perry)",Alesso,31851,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
169,"Ric Flair Drip (with Metro Boomin)",Offset,31775,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
170,"The Night We Met","Lord Huron",31629,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
